Iteration,Movie,Rating,Timestamp
87,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3,2024-12-28T20:45:50.446359
88,Casino (1995),4,2024-12-28T20:45:50.446439
89,Nixon (1995),3,2024-12-28T20:45:50.446517
90,Powder (1995),3,2024-12-28T20:45:50.446596
91,Sabrina (1995),4,2024-12-28T20:45:50.446675
92,Dead Man Walking (1995),3,2024-12-28T20:45:50.446754
93,It Takes Two (1995),4,2024-12-28T20:45:50.446832
94,"American President, The (1995)",5,2024-12-28T20:45:50.446913
95,Across the Sea of Time (1995),3,2024-12-28T20:45:50.446997
96,Wings of Courage (1995),3,2024-12-28T20:45:50.447077
97,Heat (1995),1,2024-12-28T20:45:50.447157
98,Toy Story (1995),3,2024-12-28T20:45:50.447238
99,Sense and Sensibility (1995),3,2024-12-28T20:45:50.447318
100,"American President, The (1995)",4,2024-12-28T20:45:50.447397
101,Now and Then (1995),4,2024-12-28T20:45:50.447477
102,Richard III (1995),1,2024-12-28T20:45:50.447556
103,Pocahontas (1995),3,2024-12-28T20:45:50.447636
104,"American President, The (1995)",4,2024-12-28T20:45:50.447715
105,Pocahontas (1995),4,2024-12-28T20:45:50.447794
106,"American President, The (1995)",4,2024-12-28T20:45:50.447874
107,Restoration (1995),5,2024-12-28T20:45:50.447954
108,Balto (1995),4,2024-12-28T20:45:50.448034
109,Sudden Death (1995),3,2024-12-28T20:45:50.448115
110,Restoration (1995),4,2024-12-28T20:45:50.448196
111,"American President, The (1995)",5,2024-12-28T20:45:50.448276
112,Assassins (1995),3,2024-12-28T20:45:50.448355
113,Jumanji (1995),2,2024-12-28T20:45:50.448427
114,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.448496
115,Sabrina (1995),4,2024-12-28T20:45:50.448564
116,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.448634
117,Sabrina (1995),4,2024-12-28T20:45:50.448702
118,Grumpier Old Men (1995),4,2024-12-28T20:45:50.448770
119,It Takes Two (1995),4,2024-12-28T20:45:50.448840
120,"American President, The (1995)",4,2024-12-28T20:45:50.448908
121,Persuasion (1995),2,2024-12-28T20:45:50.448976
122,Clueless (1995),3,2024-12-28T20:45:50.449050
123,Grumpier Old Men (1995),4,2024-12-28T20:45:50.449120
124,Money Train (1995),3,2024-12-28T20:45:50.449189
125,Restoration (1995),4,2024-12-28T20:45:50.449257
126,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.449326
127,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.449395
128,"Cry, the Beloved Country (1995)",2,2024-12-28T20:45:50.449464
129,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",3,2024-12-28T20:45:50.449533
130,Four Rooms (1995),3,2024-12-28T20:45:50.449604
131,Balto (1995),4,2024-12-28T20:45:50.449673
132,Grumpier Old Men (1995),4,2024-12-28T20:45:50.449741
133,GoldenEye (1995),5,2024-12-28T20:45:50.449809
134,Toy Story (1995),3,2024-12-28T20:45:50.449878
135,Restoration (1995),4,2024-12-28T20:45:50.449947
136,Wings of Courage (1995),3,2024-12-28T20:45:50.450016
137,Persuasion (1995),2,2024-12-28T20:45:50.450084
138,Pocahontas (1995),4,2024-12-28T20:45:50.450152
139,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",3,2024-12-28T20:45:50.450220
140,"American President, The (1995)",4,2024-12-28T20:45:50.450289
141,Dracula: Dead and Loving It (1995),2,2024-12-28T20:45:50.450358
142,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.450426
143,When Night Is Falling (1995),4,2024-12-28T20:45:50.450496
144,GoldenEye (1995),5,2024-12-28T20:45:50.450565
145,Now and Then (1995),3,2024-12-28T20:45:50.450636
146,Toy Story (1995),4,2024-12-28T20:45:50.450705
147,Clueless (1995),3,2024-12-28T20:45:50.450774
148,Get Shorty (1995),2,2024-12-28T20:45:50.450842
149,How to Make an American Quilt (1995),3,2024-12-28T20:45:50.450911
150,GoldenEye (1995),3,2024-12-28T20:45:50.450987
151,Restoration (1995),5,2024-12-28T20:45:50.451056
152,Tom and Huck (1995),3,2024-12-28T20:45:50.451124
153,Restoration (1995),4,2024-12-28T20:45:50.451193
154,GoldenEye (1995),4,2024-12-28T20:45:50.451261
155,Restoration (1995),5,2024-12-28T20:45:50.451328
156,Sabrina (1995),4,2024-12-28T20:45:50.451396
157,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),2,2024-12-28T20:45:50.451464
158,Restoration (1995),5,2024-12-28T20:45:50.451532
159,When Night Is Falling (1995),3,2024-12-28T20:45:50.451600
160,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3,2024-12-28T20:45:50.451668
161,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.451737
162,GoldenEye (1995),4,2024-12-28T20:45:50.451806
163,It Takes Two (1995),5,2024-12-28T20:45:50.451874
164,How to Make an American Quilt (1995),3,2024-12-28T20:45:50.451942
165,How to Make an American Quilt (1995),3,2024-12-28T20:45:50.452009
166,Now and Then (1995),4,2024-12-28T20:45:50.452078
167,Pocahontas (1995),4,2024-12-28T20:45:50.452146
168,Balto (1995),3,2024-12-28T20:45:50.452218
169,Restoration (1995),5,2024-12-28T20:45:50.452287
170,Balto (1995),3,2024-12-28T20:45:50.452354
171,Restoration (1995),5,2024-12-28T20:45:50.452423
172,Restoration (1995),5,2024-12-28T20:45:50.452491
173,Restoration (1995),4,2024-12-28T20:45:50.452824
174,To Die For (1995),2,2024-12-28T20:45:50.453136
175,Nixon (1995),3,2024-12-28T20:45:50.453242
176,Restoration (1995),5,2024-12-28T20:45:50.453328
177,Across the Sea of Time (1995),2,2024-12-28T20:45:50.453436
178,"American President, The (1995)",4,2024-12-28T20:45:50.453514
179,GoldenEye (1995),4,2024-12-28T20:45:50.453590
180,Restoration (1995),5,2024-12-28T20:45:50.453664
181,Four Rooms (1995),4,2024-12-28T20:45:50.453738
182,Restoration (1995),4,2024-12-28T20:45:50.453811
183,Restoration (1995),4,2024-12-28T20:45:50.453881
184,Restoration (1995),5,2024-12-28T20:45:50.453952
185,It Takes Two (1995),4,2024-12-28T20:45:50.454023
186,Waiting to Exhale (1995),3,2024-12-28T20:45:50.454095
187,Nixon (1995),3,2024-12-28T20:45:50.454166
188,Ace Ventura: When Nature Calls (1995),2,2024-12-28T20:45:50.454236
189,Restoration (1995),4,2024-12-28T20:45:50.454306
190,Restoration (1995),4,2024-12-28T20:45:50.454378
191,Pocahontas (1995),3,2024-12-28T20:45:50.454451
192,Balto (1995),3,2024-12-28T20:45:50.454521
193,Get Shorty (1995),2,2024-12-28T20:45:50.454591
194,It Takes Two (1995),4,2024-12-28T20:45:50.454663
195,Grumpier Old Men (1995),4,2024-12-28T20:45:50.454735
196,Toy Story (1995),4,2024-12-28T20:45:50.454806
197,Dead Man Walking (1995),2,2024-12-28T20:45:50.454876
198,Toy Story (1995),3,2024-12-28T20:45:50.454947
199,Restoration (1995),4,2024-12-28T20:45:50.455017
200,Balto (1995),3,2024-12-28T20:45:50.455086
201,"American President, The (1995)",4,2024-12-28T20:45:50.455155
202,Assassins (1995),2,2024-12-28T20:45:50.455224
203,It Takes Two (1995),4,2024-12-28T20:45:50.455296
204,GoldenEye (1995),4,2024-12-28T20:45:50.455368
205,Restoration (1995),4,2024-12-28T20:45:50.455437
206,Copycat (1995),4,2024-12-28T20:45:50.455511
207,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.455584
208,"American President, The (1995)",4,2024-12-28T20:45:50.455652
209,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.455735
210,How to Make an American Quilt (1995),3,2024-12-28T20:45:50.455810
211,Restoration (1995),4,2024-12-28T20:45:50.455880
212,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.455950
213,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.456019
214,Now and Then (1995),4,2024-12-28T20:45:50.456108
215,Casino (1995),4,2024-12-28T20:45:50.456182
216,Sabrina (1995),3,2024-12-28T20:45:50.456250
217,Restoration (1995),4,2024-12-28T20:45:50.456313
218,Ace Ventura: When Nature Calls (1995),2,2024-12-28T20:45:50.456375
219,Restoration (1995),4,2024-12-28T20:45:50.456436
220,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.456496
221,Restoration (1995),5,2024-12-28T20:45:50.456581
222,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.456643
223,"American President, The (1995)",4,2024-12-28T20:45:50.456707
224,Restoration (1995),3,2024-12-28T20:45:50.456769
225,Sabrina (1995),4,2024-12-28T20:45:50.456830
226,Balto (1995),4,2024-12-28T20:45:50.456895
227,It Takes Two (1995),4,2024-12-28T20:45:50.456956
228,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",2,2024-12-28T20:45:50.457017
229,Dead Man Walking (1995),2,2024-12-28T20:45:50.457078
230,Restoration (1995),4,2024-12-28T20:45:50.457139
231,Dead Presidents (1995),3,2024-12-28T20:45:50.457199
232,Babe (1995),2,2024-12-28T20:45:50.457261
233,Othello (1995),3,2024-12-28T20:45:50.457322
234,"American President, The (1995)",4,2024-12-28T20:45:50.457384
235,Pocahontas (1995),4,2024-12-28T20:45:50.457445
236,Clueless (1995),2,2024-12-28T20:45:50.457508
237,Dead Presidents (1995),2,2024-12-28T20:45:50.457572
238,When Night Is Falling (1995),4,2024-12-28T20:45:50.457632
239,When Night Is Falling (1995),4,2024-12-28T20:45:50.457693
240,GoldenEye (1995),4,2024-12-28T20:45:50.457755
241,Dead Presidents (1995),3,2024-12-28T20:45:50.457816
242,Casino (1995),4,2024-12-28T20:45:50.457878
243,Copycat (1995),4,2024-12-28T20:45:50.457939
244,Casino (1995),4,2024-12-28T20:45:50.458000
245,Nixon (1995),4,2024-12-28T20:45:50.458062
246,"American President, The (1995)",5,2024-12-28T20:45:50.458123
247,Four Rooms (1995),3,2024-12-28T20:45:50.458184
248,Nixon (1995),3,2024-12-28T20:45:50.458245
249,"American President, The (1995)",5,2024-12-28T20:45:50.458308
250,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.458369
251,Restoration (1995),4,2024-12-28T20:45:50.458429
252,Grumpier Old Men (1995),4,2024-12-28T20:45:50.458489
253,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.458550
254,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.458611
255,It Takes Two (1995),4,2024-12-28T20:45:50.458672
256,Restoration (1995),4,2024-12-28T20:45:50.458732
257,"American President, The (1995)",4,2024-12-28T20:45:50.458793
258,Casino (1995),4,2024-12-28T20:45:50.458853
259,"American President, The (1995)",4,2024-12-28T20:45:50.458915
260,Grumpier Old Men (1995),3,2024-12-28T20:45:50.458986
261,It Takes Two (1995),5,2024-12-28T20:45:50.459050
262,Sense and Sensibility (1995),2,2024-12-28T20:45:50.459112
263,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.459174
264,It Takes Two (1995),4,2024-12-28T20:45:50.459235
265,Sudden Death (1995),3,2024-12-28T20:45:50.459304
266,Casino (1995),3,2024-12-28T20:45:50.459365
267,Restoration (1995),4,2024-12-28T20:45:50.459426
268,Money Train (1995),2,2024-12-28T20:45:50.459487
269,GoldenEye (1995),4,2024-12-28T20:45:50.459547
270,Four Rooms (1995),3,2024-12-28T20:45:50.459608
271,Now and Then (1995),4,2024-12-28T20:45:50.459669
272,It Takes Two (1995),5,2024-12-28T20:45:50.459730
273,It Takes Two (1995),5,2024-12-28T20:45:50.459789
274,"Usual Suspects, The (1995)",2,2024-12-28T20:45:50.459850
275,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.459911
276,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.459972
277,Waiting to Exhale (1995),2,2024-12-28T20:45:50.460032
278,Ace Ventura: When Nature Calls (1995),2,2024-12-28T20:45:50.460093
279,Restoration (1995),4,2024-12-28T20:45:50.460153
280,Jumanji (1995),3,2024-12-28T20:45:50.460214
281,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.460273
282,Restoration (1995),5,2024-12-28T20:45:50.460334
283,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.460395
284,It Takes Two (1995),4,2024-12-28T20:45:50.460455
285,Now and Then (1995),4,2024-12-28T20:45:50.460515
286,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.460577
287,Balto (1995),3,2024-12-28T20:45:50.460639
288,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.460699
289,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.460760
290,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.460825
291,Across the Sea of Time (1995),4,2024-12-28T20:45:50.460887
292,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.460947
293,Restoration (1995),5,2024-12-28T20:45:50.461007
294,Restoration (1995),4,2024-12-28T20:45:50.461072
295,When Night Is Falling (1995),4,2024-12-28T20:45:50.461134
296,Copycat (1995),4,2024-12-28T20:45:50.461197
297,Toy Story (1995),4,2024-12-28T20:45:50.461259
298,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.461338
299,Money Train (1995),3,2024-12-28T20:45:50.461399
300,Sudden Death (1995),2,2024-12-28T20:45:50.461474
301,It Takes Two (1995),5,2024-12-28T20:45:50.461535
302,It Takes Two (1995),5,2024-12-28T20:45:50.461595
303,Nixon (1995),3,2024-12-28T20:45:50.461656
304,Restoration (1995),4,2024-12-28T20:45:50.461717
305,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.461793
306,Sabrina (1995),4,2024-12-28T20:45:50.461853
307,Carrington (1995),2,2024-12-28T20:45:50.461913
308,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.461974
309,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.462034
310,To Die For (1995),3,2024-12-28T20:45:50.462097
311,Pocahontas (1995),3,2024-12-28T20:45:50.462158
312,Restoration (1995),4,2024-12-28T20:45:50.462218
313,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.462278
314,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.462338
315,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.462399
316,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.462473
317,GoldenEye (1995),4,2024-12-28T20:45:50.462536
318,It Takes Two (1995),5,2024-12-28T20:45:50.462753
319,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.462880
320,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.462963
321,Powder (1995),3,2024-12-28T20:45:50.463036
322,Powder (1995),3,2024-12-28T20:45:50.463105
323,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.463171
324,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.463235
325,"American President, The (1995)",4,2024-12-28T20:45:50.463302
326,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.463366
327,GoldenEye (1995),4,2024-12-28T20:45:50.463429
328,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.463493
329,It Takes Two (1995),4,2024-12-28T20:45:50.463556
330,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.463619
331,When Night Is Falling (1995),4,2024-12-28T20:45:50.463682
332,Clueless (1995),2,2024-12-28T20:45:50.463744
333,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.463806
334,Now and Then (1995),3,2024-12-28T20:45:50.463868
335,"American President, The (1995)",4,2024-12-28T20:45:50.463930
336,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.463993
337,Copycat (1995),3,2024-12-28T20:45:50.464059
338,It Takes Two (1995),4,2024-12-28T20:45:50.464121
339,Assassins (1995),2,2024-12-28T20:45:50.464181
340,It Takes Two (1995),5,2024-12-28T20:45:50.464237
341,Restoration (1995),4,2024-12-28T20:45:50.464292
342,Sabrina (1995),3,2024-12-28T20:45:50.464360
343,To Die For (1995),3,2024-12-28T20:45:50.464420
344,It Takes Two (1995),5,2024-12-28T20:45:50.464476
345,It Takes Two (1995),5,2024-12-28T20:45:50.464536
346,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.464595
347,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.464651
348,Restoration (1995),5,2024-12-28T20:45:50.464710
349,It Takes Two (1995),5,2024-12-28T20:45:50.464767
350,Restoration (1995),4,2024-12-28T20:45:50.464822
351,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.464877
352,It Takes Two (1995),4,2024-12-28T20:45:50.464932
353,Toy Story (1995),3,2024-12-28T20:45:50.464990
354,It Takes Two (1995),5,2024-12-28T20:45:50.465049
355,GoldenEye (1995),5,2024-12-28T20:45:50.465104
356,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.465158
357,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.465213
358,GoldenEye (1995),5,2024-12-28T20:45:50.465276
359,Sabrina (1995),4,2024-12-28T20:45:50.465333
360,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.465389
361,Grumpier Old Men (1995),3,2024-12-28T20:45:50.465444
362,It Takes Two (1995),5,2024-12-28T20:45:50.465499
363,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.465554
364,"American President, The (1995)",4,2024-12-28T20:45:50.465608
365,It Takes Two (1995),5,2024-12-28T20:45:50.465665
366,It Takes Two (1995),5,2024-12-28T20:45:50.465720
367,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3,2024-12-28T20:45:50.465777
368,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.465831
369,It Takes Two (1995),5,2024-12-28T20:45:50.465886
370,It Takes Two (1995),5,2024-12-28T20:45:50.465940
371,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.465994
372,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.466048
373,"American President, The (1995)",5,2024-12-28T20:45:50.466103
374,It Takes Two (1995),5,2024-12-28T20:45:50.466159
375,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.466215
376,GoldenEye (1995),4,2024-12-28T20:45:50.466399
377,Leaving Las Vegas (1995),3,2024-12-28T20:45:50.466465
378,Restoration (1995),4,2024-12-28T20:45:50.466527
379,GoldenEye (1995),4,2024-12-28T20:45:50.466584
380,Casino (1995),4,2024-12-28T20:45:50.466643
381,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.466703
382,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.466760
383,Wings of Courage (1995),3,2024-12-28T20:45:50.466830
384,Nixon (1995),3,2024-12-28T20:45:50.466889
385,GoldenEye (1995),4,2024-12-28T20:45:50.466945
386,Restoration (1995),4,2024-12-28T20:45:50.467000
387,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.467055
388,It Takes Two (1995),5,2024-12-28T20:45:50.467110
389,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.467166
390,Casino (1995),4,2024-12-28T20:45:50.467221
391,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.467276
392,It Takes Two (1995),4,2024-12-28T20:45:50.467330
393,Sabrina (1995),4,2024-12-28T20:45:50.467389
394,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.467444
395,"American President, The (1995)",4,2024-12-28T20:45:50.467500
396,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.467554
397,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.467608
398,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.467666
399,Copycat (1995),4,2024-12-28T20:45:50.467727
400,It Takes Two (1995),4,2024-12-28T20:45:50.467781
401,Powder (1995),4,2024-12-28T20:45:50.467836
402,It Takes Two (1995),4,2024-12-28T20:45:50.467891
403,It Takes Two (1995),5,2024-12-28T20:45:50.467946
404,It Takes Two (1995),5,2024-12-28T20:45:50.468837
405,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.468904
406,Now and Then (1995),4,2024-12-28T20:45:50.468964
407,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.469021
408,Restoration (1995),4,2024-12-28T20:45:50.469076
409,GoldenEye (1995),4,2024-12-28T20:45:50.469140
410,Babe (1995),1,2024-12-28T20:45:50.469196
411,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.469251
412,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.469306
413,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.469362
414,It Takes Two (1995),4,2024-12-28T20:45:50.469417
415,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.469473
416,"American President, The (1995)",5,2024-12-28T20:45:50.469527
417,It Takes Two (1995),4,2024-12-28T20:45:50.469583
418,Restoration (1995),4,2024-12-28T20:45:50.469637
419,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.469692
420,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.469746
421,Restoration (1995),4,2024-12-28T20:45:50.469800
422,It Takes Two (1995),5,2024-12-28T20:45:50.469854
423,"American President, The (1995)",5,2024-12-28T20:45:50.469907
424,GoldenEye (1995),4,2024-12-28T20:45:50.469961
425,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.470015
426,GoldenEye (1995),4,2024-12-28T20:45:50.470069
427,It Takes Two (1995),4,2024-12-28T20:45:50.470123
428,It Takes Two (1995),5,2024-12-28T20:45:50.470177
429,It Takes Two (1995),4,2024-12-28T20:45:50.470231
430,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.470284
431,Dangerous Minds (1995),2,2024-12-28T20:45:50.470341
432,Now and Then (1995),4,2024-12-28T20:45:50.470394
433,Sudden Death (1995),3,2024-12-28T20:45:50.470448
434,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.470502
435,It Takes Two (1995),5,2024-12-28T20:45:50.470556
436,When Night Is Falling (1995),4,2024-12-28T20:45:50.470609
437,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.470664
438,Powder (1995),3,2024-12-28T20:45:50.470718
439,Restoration (1995),4,2024-12-28T20:45:50.470772
440,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.470828
441,It Takes Two (1995),4,2024-12-28T20:45:50.470882
442,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.470937
443,It Takes Two (1995),4,2024-12-28T20:45:50.470991
444,Copycat (1995),4,2024-12-28T20:45:50.471048
445,Across the Sea of Time (1995),3,2024-12-28T20:45:50.471104
446,Now and Then (1995),3,2024-12-28T20:45:50.471158
447,Sabrina (1995),4,2024-12-28T20:45:50.471212
448,"American President, The (1995)",4,2024-12-28T20:45:50.471266
449,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.471321
